timestamp_iso,kind,sf,seq,rx_rssi,rx_snr,tx_rssi,tx_snr,raw
2026-05-26T18:07:47.940584Z,hit,7,0,-13,13,-13,13,sf=7 seq=0 rx_rssi=-13 rx_snr=13 tx_rssi=-13 tx_snr=13
2026-05-26T18:07:48.105864Z,hit,10,7,-8,9,-8,9,sf=7 seqsf=10 seq=7 rx_rssi=-8 rx_snr=9 tx_rssi=-8 tx_snr=9
2026-05-26T18:07:48.761097Z,hit,10,8,-7,10,-8,8,sf=10 seq=8 rx_rssi=-7 rx_snr=10 tx_rssi=-8 tx_snr=8
2026-05-26T18:07:49.414942Z,hit,10,9,-9,9,-9,9,sf=10 seq=9 rx_rssi=-9 rx_snr=9 tx_rssi=-9 tx_snr=9
2026-05-26T18:07:50.069730Z,hit,10,10,-11,9,-10,9,sf=10 seq=10 rx_rssi=-11 rx_snr=9 tx_rssi=-10 tx_snr=9
2026-05-26T18:07:50.724661Z,hit,10,11,-11,9,-11,9,sf=10 seq=11 rx_rssi=-11 rx_snr=9 tx_rssi=-11 tx_snr=9
2026-05-26T18:07:51.378982Z,hit,10,12,-13,9,-12,9,sf=10 seq=12 rx_rssi=-13 rx_snr=9 tx_rssi=-12 tx_snr=9
2026-05-26T18:07:52.033665Z,hit,10,13,-20,9,-13,9,sf=10 seq=13 rx_rssi=-20 rx_snr=9 tx_rssi=-13 tx_snr=9
2026-05-26T18:07:52.688162Z,hit,10,14,-28,9,-18,9,sf=10 seq=14 rx_rssi=-28 rx_snr=9 tx_rssi=-18 tx_snr=9
2026-05-26T18:07:53.342418Z,hit,10,15,-15,9,-20,9,sf=10 seq=15 rx_rssi=-15 rx_snr=9 tx_rssi=-20 tx_snr=9
2026-05-26T18:07:53.996924Z,hit,10,16,-19,9,-18,9,sf=10 seq=16 rx_rssi=-19 rx_snr=9 tx_rssi=-18 tx_snr=9
